X,Y,FID,Actief,Type,Locatie,Code,Naam,Aanduiding,Straat,Wijk,Plaatsnaam,Gemeente,Beheerder,Objectgroe,Typenummer,Bouwjaar,Levensduur
4.36037393882004,52.01881050199443,1,TRUE,Speelplek,1202-10 - Verlaat Aan 't,1202-10,Verlaat Aan 't,Speel/trap,Aan Het Verlaat,Vrijenban 12,Delft,Delft,Gemeente, , ,2002,15
4.34953828240352,51.996720903056904,2,TRUE,Speelplek,2401-12 - Wijk centrum de Vleugel,2401-12,Wijk centrum de Vleugel,Gemeentelijke voorziening,Aart van der Leeuwlaan,Voorhof 24,Delft,Delft,Gemeente, , ,2008,12
4.352321041683941,51.986694549061752,3,TRUE,Speelplek,2203-33 - Abtswoude skate & trapveld,2203-33,Abtswoude skate & trapveld,Gemeentelijke voorziening,Abtswoude,Tanthof west 22,Delft,Delft,Gemeente, , ,2002,16
4.362386058012438,52.006796779559977,4,TRUE,Speelplek,1106-28 - Achterom,1106-28,Achterom,Speelplaats,Achterom,Binnenstad,Delft,Delft,Gemeente, , ,2012,15
4.353075010957945,51.982697825449506,5,TRUE,Speelplek,2204-01 - Adjeng Kartinipad basket,2204-01,Adjeng Kartinipad basket,Basketbal,Adjeng Kartinipad,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,15
4.353362211311985,51.981213869654404,6,TRUE,Speelplek,2204-02 - Adjeng Kartinipad trapveld,2204-02,Adjeng Kartinipad trapveld,Trapveld,Adjeng Kartinipad,Tanthof west 22,Delft,Delft,Gemeente, , ,2013,20
4.341195437805029,51.980337055937021,7,TRUE,Speelplek,2201-18 - Afrikalaan met klimtoestel,2201-18,Afrikalaan met klimtoestel,Speelplaats,Afrikalaan/Bantulaan/Lusakastraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,15
4.340728201838227,51.981633944046592,8,TRUE,Speelplek,2201-19 - Afrikalaan met glijbaan,2201-19,Afrikalaan met glijbaan,Speelplaats,Afrikalaan/Comorensingel/Lusak,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,15
4.344515855907996,52.00287098992483,9,TRUE,Speelplek,1404-26 - Aletta Jacobsstraat,1404-26,Aletta Jacobsstraat,Speelplaats,Alette Jacobstraat,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2002,15
4.344800121481363,52.000836186210705,10,TRUE,Speelplek,1404-29 - Antonia Veerstraat,1404-29,Antonia Veerstraat,Speelplaats,Antonia Veerstraat,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2019,12
4.344082964119106,51.982813858800348,11,TRUE,Speelplek,2202-09 - Atlashof,2202-09,Atlashof,Speelplaats,Atlashof,Tanthof west 22,Delft,Delft,Gemeente, , ,2002,15
4.339035195257139,51.979528337873695,12,TRUE,Speelplek,2201-16 - Azielaan/Tibetstraat,2201-16,Azielaan/Tibetstraat,Speel/trap,Azielaan,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,15
